host	ip	scheme	status	server	title	content_length
accounts-piloto.bb.com.br	170.66.14.11	https	503			2503
acesso.bb.com.br	170.66.14.91	https	200		Banco do Brasil	5000
acessoremoto.bb.com.br	170.66.206.8	https	200	Check Point SVN foundation	Check Point SSL Network Extender	11543
acl-cipr2c3.bb.com.br	170.66.14.144	https	401			303
adapter-tw.nia.servicos.bb.com.br	170.66.14.91	http	302			0
agn-ar.nxr.bb.com.br	170.66.14.91	http	302			0
agn.bb.com.br	170.66.102.9	https	200		Intranet	5685
agrobot-api.bb.com.br	170.66.14.91	http	302			0
agrobot-calculadora-fotovoltaica-cse.servicos.bb.com.br	170.66.14.91	http	302			0
agrobot-media.bb.com.br	170.66.14.91	http	302			0
agrohelp-teams.bb.com.br	170.66.14.136	https	503			2503
analise-comentarios.cse.bb.com.br	170.66.14.91	http	302			0
api-dadosabertos-ws.bb.com.br	170.66.221.27	https	500	openresty		33
api-developers.bb.com.br	170.66.14.68	http	302			94
api-voucher.rcp.bb.com.br	170.66.14.91	http	302			0
api.ana.painel.bb.com.br	170.66.14.91	https	500			325
api.encontre.o.bb.web.bb.com.br	170.66.192.4	https	404			21
api.exno.painel.bb.com.br	170.66.14.91	http	302			0
api.ite.painel.bb.com.br	170.66.14.91	https	401			0
api.merge.bb.com.br	170.66.14.91	http	302			0
api.opf.painel.bb.com.br	170.66.14.91	https	401			0
api.painel.bb.com.br	170.66.14.91	https	401			0
api.sandbox.bb.com.br	170.66.14.91	https	401			110
api.vantagens.rcp.bb.com.br	170.66.14.91	https	200			193
apigw.api.bb.com.br	170.66.196.16	https	503			2503
apis.deveurope.bb.com.br	170.66.17.25	https	502	nginx	502 Bad Gateway	150
app-cartao-bundle.vip.servicos.bb.com.br	170.66.14.91	http	302			0
app.merge.bb.com.br	170.66.14.91	http	302			0
app.painel.bb.com.br	170.66.14.91	https	200		Painel - Sua Plataforma Financeira	1131
appdipes.bb.com.br	170.66.1.22	https	200	nginx/1.29.4	Welcome to nginx!	615
apps.bb.com.br	170.66.14.11	https	200	nginx/1.24.0	Mosaik Core Nginx	615
aso-digital.arh.bb.com.br	170.66.14.91	http	302			0
assistentevirtual.bb.com.br	170.66.14.161	https	404			21
assistentevirtual2.bb.com.br	170.66.14.161	https	404			21
autenticacao.bb.com.br	170.66.14.91	https	404			85
auth.merge.bb.com.br	170.66.14.91	http	302			0
auth.painel.bb.com.br	170.66.14.91	https	403			89
